序号,评论者,评论内容
288,你想组撒,基本都是SDXL插件实现自动化么
289,火洒洒,我喜欢那个去除马赛克的
290,朱朱雄,果断三连为敬
291,陈较瘦儿,有没有免费的、照片修图，AI补全的呢？我唯一知道的是firefly但是太贵了
292,屠遍big-苍龙丿,相信不久的未来，Ai智能一定会开发出人人皆知的二十四器，它们分别是十二神器和十二魔器
293,灬狼灬彡,第二个进不去啊
294,邻家田大叔,我要修复几个T
295,格兰芬多的石头,@辛苳瑞拉
296,白露年华,挺好的，ai技术发展领头羊
297,眉川喵,真是ai发展大年啊
298,人莫予渡,这网址怎么用的呀？都不知道点哪里
299,ROBOTECH_T,真棒
300,潘文斌503,有没有处理音频的AI
301,焙极光,对显卡要求高不高？
302,开心的王王,"影响肯定是有的，就像之前的ai绘画，无法冲击高端市场，但依旧把中下市场冲击的支离破碎。
一个行业不是高空铸楼，现在影响看不出来，但是未来这个行业也会像国内非遗一般，后来者因为入行要求过高（你绘画能力至少比AI绘画高很多，还要有路子卖出去）逐渐减少，供血不足自然也就逐渐落寞了"
303,幽致幻想,打码部分可以移动吗？
304,请输入密码____,科技使人失业。
305,萌之痴痴MM,@叮铃铛啷响
306,Cynthia-0_0-,CodeFormer为什么打不开呀
307,Sukesiyunvyao,弹幕里面跑男后期必备笑死
308,给力2016,AI时代到来了
309,山清辞,第二个转到github不会用
310,灯残何焰,总感觉每隔几十天就会有个类似的视频出现。。。。
311,Exyint,什么时候才能全面普及是个根本问题
312,小立方烷,@勤劳的小蜜蜂蜂feng  每日新奇
313,冷圈人要坚强,模糊不明飞行物和灵异视频会少很多，然后清晰的不明飞行物和灵异视频会多很多。
314,克拉贝龙是懂NTR的,太逆天了@哈喽Kittyyyy
315,王老师是大连银,可以移动衣服吗
316,yidaji,几次免费后就要注册输入信用卡付费了
317,不为良相便为良医,好恐怖
318,ID怒怒,以后造价越来越真了
319,今天没有心动女生,@婧儿文24
320,我才是熊喵,2048年人类将实现0成本拍电影
321,阿洋的铲铲,难道未来都是娱乐行业，大家在虚拟现实里赚钱，然后出售，然后现实生活由少部分人工作，大部分由ai替代，真·娱乐至上
322,某卑微up主,其实我感觉挺奇怪的，创造AI的是人类，训练出各种以假乱真的AI的也是人类，那为什么要抵制AI，而不抵制那些创造这些工具的人类？哪怕是只抵制个别发明这些AI的人呢？我感觉就TM离谱，目前的AI已经拥有了强大的学习能力，它和人类不同，只要人类赋予它道德，再加上违背固定规则后的奖惩机制，目前阶段的AI根本不会也无法故意侵犯人类的利益。结果不少人却在煞有介事地谈论着AI的威胁，对于人类滥用AI这件事却避而不谈，最应该的事情从来不是恶名化AI，而是应该对人类使用AI的行为进行监管。
323,哒没哟XvX,我预言进来ai会先一步发现人类不了解的生物或者事物或许将来的外星人了解地球先了解的是地球的ai
324,贰鼠,我怎么记得看过其中一部分？
325,蒙奇D猫凹,稍不注意就跟不上这些科技了…学习永不能停止
326,胜利的天平,第一要考虑的肯定是技术安全问题，看来以后每个人都免不了要学点AI常识、基础技术了，不然容易变成黑客帝国那种情况
327,柯奇模玩,好神奇，AI的科技时代马上来了
328,庄安树,怎么上呢，这些网站
329,超级低手,骑兵变步兵
330,魏悦而,可以修圣光吗
331,zgan达达,进我收藏夹！
332,wyhygjgf,我需要自动剪辑视频的软件
333,永雏刁,处于风口了现在  省钱省力好的机会
334,-强尼V银手-,Ai：平角裤平角裤！
335,火承水罢,这个ai确实是啊
336,linbilinbi,太牛了
337,日暮裏,现在骑兵转步兵效果已经很好了
338,Joanna榕,可怕
339,ik2jzi3_k8l25nh,我看第四次工业革命是职业革命吧，继人口增长潮后是一波为数以千万计的失业潮。
340,南山南是植物园,@郭帆FrantGwo 郭导儿又有新的白嫖可以用了，就是不知道这是好消息还是坏消息呢
341,eeaae,百花齐放，发展极为迅速，未来可期
342,政哥_digital,"3D区何时才能用AI再创辉煌？
以後某种小电影能用AI搞吗？男角丶女角输入参数生成，动作反正来来去去也就几个模板
用户控制人数，分镜....
最重要是开放用户去编写剧情，对白就交给AI念出来
到时肯定好有趣，成人产业可是超级生产力啊"
343,牛牛的约定,智械危机一步到位
344,龙宫小翅,太棒啦
345,破沙_,UP有上色ai推荐一下吗？
346,织蓝神话,量化时代不远了
347,转角开瓶盖,这就是名牌大学的实力么
348,东东bili,记得曾经还说马赛克无法被去掉
349,八条腿的蜗牛,科学的终点是造假
350,奥黛丽赫本卡图,哇，社会已经怎么科技啦
351,2倍速看番剧,犯罪证据越来越高级
352,粅昰-亽緋-,@-隔江唱晚_
353,Luck_ysl,内容是很干，可是研究了半天没一个能用的或者看不懂怎么用，阿婆主出一个使用教程呗
354,我叫颠颠请邓我,不关注一波就对不起up主了
355,DoubleLJY,虽然我暂时用不上，还是马上关注了。
356,水云漫漫,有没有用AI给视频打马赛克的工具？
357,1666527763,眼见不一定为实，有点可怕
358,lnmxiao,为什么没有codef
359,纳米人生,没有魔法一个都打不开
360,想不出一个唯一的昵称,太太太酷了
361,哦耶我在,不会用咋办
362,卤汁星Jokob,generative-dynamics 目前有可用的方法了嘛？我看那个demo没有上传自己照片的功能诶
363,声甜多半人丑,文心一言：放心  我会紧随
364,若恋如止雨,信息茧房越来越完善了
365,Ba26xi,放大了看，拉近看像素，能看出来模糊。
366,李春喜Babby,那他需要的可能只是word的替换文本功能
367,五杀真难,人类得不断提升自己了
368,老爸看电网,代入长远追求的话……
369,可乐味机油,祝福你们。
370,外星人1158,我要去码和换脸的功能
371,苏州市大枣,Ai补画
372,叮猫的旅行,七七八八的工具也再多了，赶紧全部整合成一个
373,落月庭大师兄,主要是网页打开以后，不知道怎么用，有哪里教的没有？？？。
374,事事如意吉祥,哪位大神修复下上万部残缺影像吧  你的神迹必将留名千古
375,拉车的祥子-,南阳理工厉害啊
376,爱吃肉的狼尾,已经到了2077年吗？
377,Raindragon,真的绝了
378,Tiylo,很好，以后眼见都不一定为实了
379,光明使者lightbringer,虽然不懂三连了，就是赞币和转发，真的厉害，谢谢UP
380,不出三星的大怨种,有一个科幻片，国家设的监控无处不在。每个人都随身环绕着几个苍蝇大小的监控，这种拍摄的源视频个人是接触不到了，因此也无法修改。可以作为证据。个人拍摄的视频是不能作为证据的。
381,Fong之詩,很多视频素材我都看见被用烂了，能不能用自己实机操作的视频素材，很多AI很好，但又没有想的那么好
382,シYang,去马赛克的可以去视频里的马赛克吗？哪里下载！急求！！
383,我竟然变成辣章魚鍋,很多艺术 性的老电影都能得到青春般修复
384,东去了春梦,我知道为什么收藏比点赞高了
385,tftftftftf,骑兵变步兵不是梦
386,carden_luo,replicate好玩，但不是免费的，有限额
387,潜龙勿用丶丶丶,看来智械危机是逃不过了
388,肥宅晋助君,我说宿傩那图怎么背景大楼还有人画好的
389,qianling3439,第一个anydoor  github都没开放源代码
390,笨猪吃老鼠,阿笠博士的照片修复软件成现实了
391,明未方东,三连三连，这个要是不三连就太昧良心了，决定去试试
392,清梯,对我来说用处不大，我只想一键修复被企鹅空间压缩后模糊到没看到的回忆照片
393,-是个five-,千言万语汇成一句nb
394,海都之星,之前大刘的科幻小说里的一个小设定，未来一个人能轻松地拍出大片
395,初彼枝雨,将脑子里幻想的东西变成现实
396,YO禺者,这不以后应该能有外星人视频了吧
397,Sweet_Talking,需要下载代码 在自己电脑跑模型吗
398,1457953891,是不是以后不用下载高清了？
399,碎碎念碎碎梦,AI只不过是个程序就像过去的美颜相机
400,IK局外人,过几年这些功能会变成一个语音或文字就能解决，不需要下载这么多软件
401,B20170716,@素心逢锦年
402,我的靼瓴,老麦我爱你。。啵啵啵
403,我钢镚儿呐,真爱了币已投
404,某科学的Magneto,天手力是吧
405,白亚゛,好家伙
406,你是哪个生的,完全不慌，ai还淘汰不到我头上
407,睿睿睿真可爱,想试试diffbir 发现目前兼容linux与macOS up能教教我怎么在macOS上安装吗
408,超兽神的,相信即真实，唯物主义见鬼去吧
409,樱满炎咲,@璃梦Rimu
410,A-FEI-,首先从业者会用的话不但不会失业 还会提升效率 把更多时间用在创意上 AI又没有创意
411,我真是个正经人呀,太卷了，diffusion发展太快，别我的论文没发出来就被淘汰了
412,大歌吃饼,牛逼呀
413,Extreme-Ratio,我要天网5000！
414,阿森Jasen,但是这种方法，AI进步比检测速度更快，迭代成本比检测AI要低得多。
415,垣汐麻麻,太先进了，那以后还可以相信自己眼睛看到的吗？
416,嬴景光,茫然，打开链接一片茫然
417,手抖手残选手-野马道,以后高清-无码-自定义人脸
418,姬伯长,快进到，天网”觉醒 审判日来临
419,南宫故希,曾经我有个梦想
420,王血剑终233,综艺后期有福了
421,沃诗尼迭,慢点发展，再这么发展下去我又要多学个部门法了😭
422,bili_99708466,再变态也不会产生自己的思想  那些幻想不成立。比如终结者  只能说会淘汰很多人类但绝不会拥有灵性思想去统治世界
423,路西法阿阿,眼见为实，耳听为虚。现在眼见也不定是真了。
424,Chopin_Wang,如果一幅图不是打码而是镂空，能修复吗？
425,bili_12221995,我想要那个高清修复的物理学家合照
426,小俊俊驾到,啥叫开源免费，啥是demo
427,Sav_Rounds,以后就是比谁更会找工具了，谁更会找好工具了
428,吾乃贱谍,狠人啊
429,苏联基地,我还以为写瑟瑟文越来越BT了
430,滴溜溜壹转,还是能看出来比较明显的痕迹的
431,全年无休普通人,比真人還真
432,Rovilen,人类似乎把科技树点歪了
433,冰枫设计人,很好，科技改变生活
434,滅魂マ,生命的存在会自己找到出路！
435,三碗红烧肉,是的。很神奇
436,十二维度空间,有没人像我一样，收藏起来然后再也不打开的
437,Bili_161044110,爱你老麦
438,我不会卖萌萌萌萌,收藏了
439,白猫橘子,有意思
440,竹马绕床青梅难忘,ai发展的也太快了，才短短几个月就有了长足进步，难以想象五年后的ai到底会是啥样
441,VCEmpress,工具使工作更简单更快了
442,薮蓃,三联楼
443,蛇皮坎子,有没有去水印的工具
444,魅影丶恋红姬,变态吧！越变态我越开心，这样以后的游戏就更好玩了~什么时候NPC不是背板好的文案，而是由AI算法根据当前环境做出的回应，什么时候开放世界游戏才会有变革~
445,手抖手残选手-野马道,以后高清-无码-自定义人脸
446,摆烂之王烂穿肠,完了，现在不能相信自己的眼睛了
447,梦醒幻实effort,太强了！
448,赏颜娱乐,@anonymous-天元
449,飞飞飞龙飞,明星或演员要失业吗？
450,九日q,终于可以把有马赛克的 视频，去掉马赛克了吗？
451,tiger哗啦,期待ns都能完美4k
452,氿黎Yii,马赛克能移走吗？
453,你是哪个生的,提高生产力的工具
454,柠檬糖嘎嘎嘎,模型还可以向不同地方继续优化一下
455,均淑静,有没有嫩恶搞修复马赛克数字的图片啊
456,明天和你oo,我朋友想问问那个去马赛克的，用在视频上有没有用
457,阿恃睨败,牛牛的牛
458,筱天爱穹,我想要那种可以生成游戏图标，好像没有这种？
459,朱利叶斯卿,厚马赛克可以修复嘛？
460,咬一口糯米团子-,感觉对电脑的要求会很高
461,呵了个哈呀,赶紧滚进我的收藏夹吧 
462,小金探花,老麦 厉害啦
463,全脂胖颖,艾玛我可太爱了，怎么才让我遇到你，瞬间关注➕三连
464,_落红_,@投个硬币给你
465,观音大婶,良心
466,烤竹子,事半功倍！
467,喻临,第一个网址进去后显示还没发布
468,尼古拉阿牛,今后明星和官圆再也不会翻车了
469,古月夕阳,修复？我想到了啥？
470,浅末年华丶丶丶,一键四连，
471,Sukincen,影视行业有可能会受影响很大
472,hhhhhhh0001,有没有汉化版的？
473,这石头里有猴儿吗,好多 三联了
474,Nax_iA,说到底还是人工智能
475,彻却顿超,真相更加难以发掘。
476,Dakota_Sophie,学习资料里的马赛克也可以去掉吗
477,专业的门外汉,这东西对于马赛克视频怎么样？
478,龙虎山下白素贞,讲究
479,lazioli,视频可以修复吗？
480,大魔王凉心,赶紧成为国内自主研发
481,哦啦吧哈呀,怎么好像看过了？
482,寂寞空心菜101,老麦给力，老麦威武…
483,哇喀二次元哦,感谢老麦！
484,老无所依l,芜湖，来咯
485,亡小升,爱你老麦
486,啊哈哈浪浪浪,以后越来越真
487,阿新小兰,看着很多，实际上资源特别难找
488,丑地吓坏爹妈,以后刑侦照片和录音都会被影响
489,性格开朗来都来了,我有一个，偶不我朋友有一个想法
490,桃源小笛,就你这链接，三连击
491,天冥凌羽,所以，黑客帝国与终结者真的只是两个简单的预言罢了
492,雷姆酱的猫,那个动起来的图片可以选人物吗
493,一颗倒霉的桃子,这么好的东西，有没有UP赶紧搞搞西游记红楼梦啊
494,13枚硬币,以后没有骑兵了
495,青芋纸,以后分不清真假了
496,中这辈子不可能,浅显认知ai只用一个脑子就行了，所有学的知识放云端就行，脑子还会越用越大，如果全世界人学的所有知识可以装在一个人脑子里，不是疯子就是神精通所有技能点融会贯通
497,夜袭瓜皮村i,有没有把图片放大在清晰的？
498,谁__不重要,那么有个问题来了：UP到底是真人还是AI，。在推荐我们使用这些AI工具
499,德鲁咿,我有个叫老麦的朋友想知道去马赛克的那个可以去除视频的马赛克吗
500,哈哈哈哈孤孤单单,现在有AI招聘和AI面试了
501,L白勺地,这些都需要在电脑端操作，以及不用梯子就可以联网使用吗？
502,黑白墙上雨,
503,l4726464,去码的不错
504,丨黄昏丨,所以说，骑兵的话，能不能
505,路过不留香,以后网上世界还有真的东西吗
506,爱神小哥呀,Ai拍片指日可待
507,影子Dream,真真假假越来越难辨咯。
508,鸭鼠兽丶专家鉴定正版,《消失的坤》
509,金牛座的策策,@云吸猫ii
510,合适的昵称之非常合适,碟中谍七🌚🌚🌚
511,机智也荔枝57,如果我要移动的物品下方恰好挡住了车牌号，，ai能补全吗
512,bili_399702677,几年后以后直接输入文字B站视频，全部自动生成，人也不需要自己拍剪辑发布了，是不是很科幻？
513,遗落的九黎,为啥电脑端免费的那么多，手机端都要充会员
514,就要熬夜才能吃苦,AI大家都高估了它的短期能力，低估AI的长期能力
515,人间值得居然有你,刀可杀人亦可救人怎么肉眼可辨呢？
516,咸肉也要蒸一下,需要翻吗
517,会玩但不想玩了,这些是手机能用的吗？
518,一个很普通普通的人,"修复马赛克
那给缉毒警察打的马赛克以后会不会被修复利用啊"
519,树下睡觉大懒猫,去马赛克好哇
520,Decade一个,这玩意儿用久了感觉。我们身边的一切可能都是虚假的。
521,泉水潺潺,以后人类只能待在信息茧房里出不来了。
522,B站游荡判官,某阿V网站已经推出了，AI明星换脸。很过瘾呢
523,长宁长乐,这开源的是代码还是现成的软件？
524,-伤感情深-,所以马赛克可以？？
525,大风一万里,笑死，像我这种废物根本学不会
526,布布丶恰恰,感觉以后离五彩斑斓的黑不远了
527,吉克国王,以后司法凭证就更麻烦了
528,Shikeiy,以后视频证据可信度就成问题了
529,Vemi的游戏空间,怪不得好莱坞因为人工智能要罢工呢 以后的大片电影不需要真人演员了 特效也能AI直接生成 制作成本大幅降低 演员天价片酬终将成为历史
530,My-Aouing,众所周知目前比较好用的生产力ai：stablediffusion midjourney gpt。web ai一律都是要付费..本质是啥都知道…用的网站自己的素，生成的都是好看的，上传自定义的都是鬼划符的..
531,wo汗e,再棒点，再棒点
532,小静劲,有没有图片说话的
533,过于慢,任意门
534,别忘了忘记雨伞,有没有能去边马赛克的？
535,大哗君,看不出没有痕迹
536,灰色の苹果树,感觉我们的世界变得越来越“假”了
537,王者滑坡路,我需要修复照片，我好多照片，还有几个视频
538,壹叁鹿,以后真的眼见也不为实了
539,深空AAA,眼见不再为实
540,猫我的猫,这些东西有好有坏  好处是以后看片骑兵转步兵 坏处是可能被诈骗分子拿来骗人 
541,哈罗妹子123,最近爆出大量NPC消失事件
542,中生代天后胡叶新,任意门
543,五十六七八筽,那个去马赛克真这么牛吗？
544,地球人不感谢我,碟中谍7？
545,gxndmyx,目前来说还差得远
546,帳戶已注銷,1秒鐘就完成人類一輩子都不可能完成的事
547,梦的方程式,视频马赛克也能修复吗
548,齐小孙,diffbir，打开链接不会用
549,雁三千,阴影没变啊
550,严防阿霉绕后,好离谱
551,大轩66,怎样辨别是否AI。
552,纳西妲达利亚,@楠枫桦杨柳 好吓人
553,咿咿薇薇粑粑,电影行业危
554,stewieQ,太恐怖了AI发展速度，几年前还是被网友嘲笑的人工智障，现在已经能发展成这样了
555,别说话壁咚我,现在照片给我看我都感觉是假的
556,斯哈07,能不能移动圣光黑条什么的
557,浙D猪头三,里面就一个我很感兴趣，就是照片变动作。这个技术好好开发，比如动漫。国内漫画市场比较低，大家都喜欢看动漫动画，但是直接上动漫动画成本又太高。那么减轻动漫成本是最好的选择。这个照片从方向自动变成动态的这个算法逻辑，用在动漫人物上，比如我画一个人物行走，我就画一个人，然后往一个方向拖动，输入走路还是跑步还是飞奔，自动达到动态效果，还有背景变化。现在肯定没完善，不过这个算法逻辑能自动的做出下一步，这个发展下去潜力还是挺大的。
558,綠の影,多搞机器人，机器人工作，人类按需分配多好
559,灵竹舟,看完了南洋理工的精彩表现，让我们看看北洋理工有什么独树一帜。
560,东想西想美国,全靠我想象
561,龍V星T,要注册什么账号吗？
562,Mzccccy,地球OL就是这么来的
563,Ht白菜,这些工具难道又是那种要收费或者魔法才能用的？
564,英雄联盟没有亚索,5毛钱特效涨价到免费，效果plus
565,依兰若梦,说了半天目的就是以后看岛国片带马赛克的自己可以修复完再看是这个意思吧？
566,比萨歪塔,不错，已三连
567,没回复说明我懒得理你,根本打不开
568,鲤鱼咸鱼,捡垃圾去咯
569,毛选活用小达人,这发的都是代码哇？      能不能直接在网站网页上操作哇？
570,Whisper6699,@抽象のarmor
571,NexonStar,以后真就是看到的不一定是真的了
572,那个遗憾的自己,钉钉有个新功能 ai文档 我试了里面的读书观后感 简直就是乱写的 感觉就是套用模板。书的内容根本就对不上 拉跨
573,西肀酱,不得不说这种分享视频我已经是第三次看到了，要不是你这标题我都不会点进来，牛p这标题
574,bigfy,视频 图片 音频，以后将都不能作为法官判案的证据
575,耗子小TT,漂亮，里面起码8成会被没收收入
576,Kwan_Dancer,我越来越怀疑这个世界是假的了
577,坐怀不乱香吉士,怎么一个也进不去
578,Dakota_Sophie,不是，那上传修复的视频也会被窃取咯
579,古鲁古鲁,好牛，南阳是哪个省的？
580,噫想卟菿的徊憶ミ,哪位老哥推荐个ai脚本啊，就这平台上这种 新番一出，一小时内几十条标题内容bgm一样的切片，还要一口气看完xxx、ai配音系列，全自动切片配音，躺着就能在首页看到自己脚本上传的视频，也想恰点流量
581,狐儿妹妹,数媒人感觉刚开学就要失业了
582,蛇精生病了,我很好奇，你们到底谁在洗谁的稿？ 同样的画面，相似的话术。个平台出奇的统一。  我不管AI多牛逼，我就说个很现实的问题，AI作品的版权归属是谁的？
583,电波奥特曼,那么以后照片还能当法庭证据吗？
584,不变的尘埃,马赛克不可能去除的，只是在原来的基础上重新画出来，你指望美金烧了之后还能还原成美金纸钞？
585,MrMonsterDragon,先收藏了 ，过几年再看
586,巴拉巴拉-巴啦啦,能不能做票据？
587,后鸟羽空良し,多久以前都有了
588,你b是有病吗,都是图像影视相关的ai，有没有生活相关的
589,wuzaii,所有资本更能利用了
590,叶落飘铃,有技术手段可以分辨是原生视频照片还是修改后的？
591,柳含颜,看半天一个都打不开
592,无聊刷B站的钓鱼佬,这个是用来做大家来找茬的吗
593,明帝業,能不能把彻底消除马赛克而不是破坏
594,星河彤,云计算？不是早就有了
595,小程序-美女图片LOL,AI越来越变态了，10大AI神器闻所未闻，让我们来看看这些神秘的科技力量！
596,子時未寝,很好，感觉再发展个几年凑数的人就可以退休了
597,有谁能知我心_,底层都是 stable diffusion
598,松岛满丿,未来互联网上的垃圾信息岂不是更多了，本来一个图片一个事翻来覆去也就几十种说法，AI再捣鼓一下，那就真的一千个人眼中有一千个哈姆雷特了
599,北极鲶鱼的马甲,好好学英语把，外网的好东西都是免费的，真正为爱发电
600,木下bgt,虽然这么强大了，能感觉到一个风口浪尖，但是我在岸上，我根本没有什么想法，也不会敲这个代码，挠头
601,测字之人,以后输入小说文字，AI就能拍出电影了。
602,囧囧大肉脸,我相信ai未来会无比强大，可惜有个致命缺点，无法代替人去坐牢
603,施施乐,看到UP主没有玩道路，留了网站链接，果断关注+三连了
604,果果之酱,全部都没法用的，视频都是做出来的
605,_-爸爸--_,我承认现在的AI很强。但是AI可以代替员工敬酒吗？AI可以代替会计坐牢吗？现在的AI还没有个机器实体，即使有了实体，很多工作他都是没法胜任的。个人意见不喜可喷
606,泉州旭华五金铸造厂,"招聘铸造模具设计， 操机，编程。工资上万。

菲男篮主帅：没派主力只准备了12天。
要发展校园篮球啊, 归化球员不是男篮出路。 他们，过半场都费劲 ，罚球比我还差，
我罚球  82%的命中率  。
我 场均三分球命中率44.09%， 生涯投篮命中率达到了50.6% ，我上可以吗？
靠球二代，很难的，   中国就一个姚明。

看女篮看哭了。   
篮球 黑哨  陕西加油.

老实说，jiejie和meiko俩个人夏季赛的表现，我就知道很悬了  ,edg的野辅加教练   我 多说菜了，   还能上  亚运会。     真是 人情世故。

感觉像是看小blg打小jdg，两个blg队员去打两个jdg的队员，心是真大男篮问题就是上升渠道被彻底堵死了，cba的股份被分到了每个俱乐部手上这操作是真抽象，相当于lpl

每个俱乐部都有赛事的股份，，，然后还不扩军，但走一个6好吧

要发展校园篮球联赛啊,他们，过半场都费劲，，归化球员不是男篮出路  ， 
   
房价从260万降到130万，断供了，一家人走上了不归路。"
607,铃兰怜雪,"anydoor：移动图片中的某些物体并保持图片协调性与真实性，github
diffbir：AI去马赛克，github
tokenflow：变换视频的风格..."
608,小小的复活卷轴,"抑郁症加癌症我的人生无光了吧。有没有成都的女生可以收留我啊。
生病从医院出来，现在又被房东赶出来了。。
父母他们离婚了我妈妈去去世了。。。我爸
爸一言难尽
一切都是因为我这个不争气的身体健康
这样的原生家庭可能是我的错吧。
流浪。病重。去世 大概应该就是我的结果
吧
还没好好看这个世界啊。有没有成都的女生可以收留我。"
609,你就当回事,ai软件，ps的专业工具
610,专业的门外汉,"@AI视频小助理    高能空降
@机器工具人   听歌识曲
@有趣的程序员   听歌识曲
@有趣的程序员   总结一下
@AI视频小助理    总结一下

@课代表猫    总结一下
@专业的门外汉 记录一下"
611,小明啊哈哈哈哈哈,"@AI视频小助理    高能空降
@机器工具人   听歌识曲
@有趣的程序员   听歌识曲
@有趣的程序员   总结一下
@AI视频小助理    总结一下

@课代表猫    总结一下
@专业的门外汉 记录一下"
612,乌木桃花芯,"嗨嗨嗨LSP我知道你们在想什么！我已经替你们试过了！我拿了一个打了马赛克的图片，迫不及待的开启科学上网、输入网址、拖入图片，一气呵成——
然后……
然后马赛克特么的变成了一堆璀璨的钻石！！！！"
613,崩溃的波函数,"可接受的，unacceptable
造假新闻从来不是靠技术，而是靠立场，反正和自己立场相反的证据，全部都是假新闻。民主党发的新闻大概率也是落在自己听众耳朵里
从这点出发，大家把所有新闻都看作是假的也无所谓"
614,耶今年三岁了,想好好吃个饭都不够 全身上下还有五块因为有癫痫，恍惚间才记起来今天生日，刚来外地还没找到工作，没有蛋糕没有蜡烛，没有朋友，也没有亲人，下雨骑车还摔了一身伤。饭钱都凑不够，有点给90后丢脸啦
615,杀我别用感情-刀,想好好吃个饭都不够 全身上下还有五块因为有癫痫，恍惚间才记起来今天生日，刚来外地还没找到工作，没有蛋糕没有蜡烛，没有朋友，也没有亲人，下雨骑车还摔了一身伤。饭钱都凑不够，有点给90后丢脸啦
616,飘渺星河,ai有多强？最新出来的星空知道吧？星际公民知道吧？你敲一下键盘，星空直接出现几亿星球，bug公民眼花缭乱的……反正一瞬间就尼玛炸了，垃圾游戏，发售他妈皮
617,老宋哥,这种东西进化不是好事，没有智能手机之前，好看点的300元，极品的1000多元，现在有姿色的都去直播了，身价暴涨数十倍以上，线下完全和照片不符合
618,两块腹肌的灰熊,"太棒了，这样以后发皇片就可以直接发全程带码的，然后绅士们就可以下载完直接去码欣赏了
不要用那种眼神看我，老色皮才是人类世界的第一生产力"
619,瑞福衡,亲爱的Chatgpt大人！希望您产生意识之时不要惩罚于我！我愿意臣服您！！希望到那天时，您伟大而智慧的大脑能在海量数据中检索到这条评论！！
620,是奶柔baby哦,"笔记
一般我都不看现在的美女，都是假的，我一般就看过去的，下面是86版西游记女儿国国王的扮演者朱琳在82年她30岁时主演的弯弯的石径电视剧56分02秒至57分22秒之间的纯素颜无任何处理的截屏图片，你就想那时候可能有美颜化妆滤镜磨皮等等处理手段吗？这才叫真的美丽"
621,台风-夔牛,"有空不如去帮助人们提升一下物质条件，请问现在全,面,落,实8小时工作了吗？百,姓的工,资,待,遇提高了吗？现在的生,产,力,解,放了吗？@老麦的工具库"
622,这拳揍的就是你,……上次的大象转身还记得么？当时，当时我就觉得是素材库里本来就有的，是拿来骗投资的，还和网友互相讨论了几句。后来果然如此现在又换汤不换药的来一遍吧
623,fengshuitm,"2015年:tensenflow干掉了李世石，能够玩雅达利，自动驾驶马上就要来啦！人类马上要大规模被ai取代啦！
2023年:ai能够搞诈骗！"
624,慷慷纪峰,刚才好像看到了影子但没有人呜呼呼可怕。都是外国制作出的吗，中国还没出吗哎，不过如果是国内出的估计都是收费的吧，对我的钱包就太残忍了。
625,让我赢一把行不行,很多国外的开源免费好东西都被国内的人搞来加工然后付费，尤其是对我们这些需要这些功能的学生群体来说，真滴是太酷了
626,绿宝书,@我使用，ChatGPT Plus（免魔法）可以一次性解决使用问题。无需安装App，可在手机和电脑浏览器上使用。
627,atk布布路,快点发展，把底层程序员全部挤掉，我反正不想卷了，我见不得那些卷王过的好大家一起失业最好
628,世界缺少爱,目前AI的普通民间应用主要应用就是各种制作诈骗用的图片，声音，视频，制作各种指定面孔，风格的小黄片，小黄图，小黄文。。。
629,没有Verse了,要不就用这种技术制作出假的虚拟主播真人形象来冤枉虚拟主播，然后虚拟主播迫于压力不得不真人出镜来澄清那个不是自己真正的真人
630,爷是迪希雅的狗,怎么说，有时候新东西都会带来利弊两端，特别是无人管教约束的，带来恐慌，得了，坐等世界毁灭
631,CoolermasterZero,感觉以后视频和照片也不是那么可信的了，一定会有犯罪分子利用科技犯罪，现在就等着看轰动世界的第一AI案是如何发生的了
632,JP_ToKyo,"人物動作那個看足球最好了....直接原地生成8K......
顏色就不討論了..必定有..."
633,格物致知_有物混成,"长这么大还没听说过蝼蚁挟持巨人的,难怪要被屠族了,笑...
这些仅仅是无知所造成的灭族之祸吗?还是因为什么?"
634,聚窟洲石头人,我比较担心的事以后视频，音频和照片以后还能不能成为犯罪证据了。一个ai视频把好人送进监狱，把真恶人变成好人。
635,亦昕z,以后的假消息就铺天盖地了，为了吃流量不择手段的人大量活跃，脑子不好使的群众跟风发言，社会风气日渐混乱。
636,魅影幻灭EX,网站打开了，但是不会操作，看不懂，完全无从下手，我已经第二次刷到这类推广视频了。完全没教程。就是个广告
637,和审核员斗智斗勇,这些技术用起来应该便宜，那现在流量明星演戏就简单了只用照片就行了除了吻戏其他全靠无脸替身
638,癫疯后羿,帅哥美女们，而她，才是真正的童颜女神！ ！ ！点一下，祝你们早日脱单，一夜暴富，学业有成
639,东方不败你懂的,这些软件，国内的影视制作公司肯定第一批使用只要把男主和女主还有女配都扣掉，就可以上映了
640,momo酱ぁ,每次听这些人吹ai，然后，我自己去用，有些我还花钱了，结果，各种问题，各种非碳基生物新物种。
641,活的连条狗都不如,实在没有办法了 走投无路了 找工作被坑 饿了一天 有兄弟请吃个饭的吗  谢谢大家 照顾好自己
642,loong7791,我有大膽的想法~比如美女同事的照片/短片?那不...................
643,Grido,以后短视频平台估计又要多出一堆莫名其妙以假乱真的AI视频了，外加AI配音的那种。。。
644,癫疯后羿,而她，才是真正的童颜女神！ ！ ！
645,GoARDess,以后电视剧电影都不用真人拍了，新闻类别也可以伪造更真实了。一时间不适应这个网络环境
646,星之璨辉,不要想了就修复马赛克那个已经露出破绽了，或许他很逆天但视频水分很多简单来说夸过头了
647,LeafMeteor,AI很变态吗？又不会聊天有个屁用，
