栏目,视频标题,视频链接
美食记录,在西班牙卖川味爆炒花甲能不能赚钱？今天先拿火腿店朋友做个测试,https://www.bilibili.com/video/BV1jp4y1F7Gi/
美食记录,哈哈哈，一会看她怎么吃!,https://www.bilibili.com/video/BV16B4y1Z7xt/
美食记录,新疆，一个让预制菜哭爹喊娘的地方,https://www.bilibili.com/video/BV1n8411k7nD/
美食记录,韩国女校食堂5500元自助午饭长啥样？,https://www.bilibili.com/video/BV1P8411C7UM/
美食记录,有一个爱做饭的室友是什么体验,https://www.bilibili.com/video/BV1aC4y157u5/
美食记录,假吃已经够隐蔽了，为什么还会被发现？？,https://www.bilibili.com/video/BV1pB4y1Z72r/
美食记录,【高亚麟】最新视频上线，求关注！,https://www.bilibili.com/video/BV1Tp4y1F7ys/
美食记录,师傅教大学生徒弟做可乐鸡翅，徒弟笑嘻嘻,https://www.bilibili.com/video/BV1Cw411r7fQ/
美食记录,女大学生的无力感,https://www.bilibili.com/video/BV1T94y187L3/
美食记录,炸串,https://www.bilibili.com/video/BV1rz4y1F7gG/
美食记录,胖龙给儿子做爱心“猪蹄饭”先啃猪蹄，再吃米饭，嘎嘎香,https://www.bilibili.com/video/BV1Xp4y1M75d/
美食记录,连吃泡面第66天，先炫不要钱的烤肉再吸面,https://www.bilibili.com/video/BV1Mp4y1F7ed/
美食记录,新手第一次炒饼丝，看师傅怎么讲,https://www.bilibili.com/video/BV1Uw411a7kY/
美食记录,我挺难受！,https://www.bilibili.com/video/BV1zw411A7fZ/
美食记录,韩国女校食堂5500元自助午饭长啥样？,https://www.bilibili.com/video/BV1rm4y1g7re/
美食记录,末日食谱之铁锅炖大鹅,https://www.bilibili.com/video/BV1r94y1b7tn/
美食记录,新疆最美独库公路，花100元吃羊肚菌拌面，分量足味道好景色也太美了,https://www.bilibili.com/video/BV1iw411r7W1/
美食记录,花2万块把安徽臭鳜鱼背到了西班牙，会有老外懂欣赏吗？,https://www.bilibili.com/video/BV1du411M7GJ/
美食记录,爷仨在家做个蒸面条，简单吃点,https://www.bilibili.com/video/BV1Gw411y7dp/
美食记录,我妈说她头一回吃！,https://www.bilibili.com/video/BV1o8411k7cC/
